,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
492,Krzysztof Pi?tek,FW,pl Poland,26,1.it Salernitana,1995,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
493,Jordan Pickford,GK,eng England,28,1.eng Everton,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
494,Orbelín Pineda,MF,mx Mexico,26,1.gr AEK Athens,1996,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
495,Gonzalo Plata,"FW,MF",ec Ecuador,21,1.es Valladolid,2000,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
496,Jackson Porozo,DF,ec Ecuador,21,1.fr Troyes,2000,2,1,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
497,Morteza Pouraliganji,DF,ir IR Iran,30,1.ir Persepolis,1992,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
498,Ángelo Preciado,"DF,MF",ec Ecuador,24,1.be Genk,1998,3,3,264,2.9,0,1,1,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
499,Christian Pulisic,"FW,MF",us USA,23,1.eng Chelsea,1998,4,4,315,3.5,1,2,3,1,0,0,0,0,0.29,0.57,0.86,0.29,0.86,Matches
500,Adrien Rabiot,MF,fr France,27,1.it Juventus,1995,6,5,483,5.4,1,1,2,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
501,Nemanja Radonji?,"FW,MF",rs Serbia,26,1.it Torino,1996,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
502,Abdul Rahman Baba,"MF,DF",gh Ghana,27,2.eng Reading,1994,3,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
503,Gonçalo Ramos,FW,pt Portugal,20,1.pt Benfica,2001,4,2,152,1.7,3,1,4,3,0,0,0,0,1.78,0.59,2.37,1.78,2.37,Matches
504,Aaron Ramsey,MF,wls Wales,31,1.fr Nice,1990,3,3,266,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
505,Raphinha,"FW,MF",br Brazil,25,1.es Barcelona,1996,5,4,315,3.5,0,1,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
506,Marcus Rashford,MF,eng England,24,1.eng Manchester Utd,1997,5,1,140,1.6,3,0,3,3,0,0,0,0,1.93,0,1.93,1.93,1.93,Matches
507,David Raum,DF,de Germany,24,1.de RB Leipzig,1998,3,3,242,2.7,0,1,1,0,0,0,0,0,0,0.37,0.37,0,0.37,Matches
508,Bassam Al-Rawi,DF,qa Qatar,24,1.qa Al Duhail SC,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
509,Tim Ream,DF,us USA,34,1.eng Fulham,1987,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
510,Djorkaeff Reasco,FW,ec Ecuador,23,1.ar Newell's,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
511,Gio Reyna,MF,us USA,19,1.de Dortmund,2002,2,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
512,Ramin Rezaeian,DF,ir IR Iran,32,1.ir Sepahan,1990,2,2,180,2,1,0,1,1,0,0,1,0,0.5,0,0.5,0.5,0.5,Matches
513,Everton Ribeiro,MF,br Brazil,33,1.br Flamengo,1989,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
514,Declan Rice,MF,eng England,23,1.eng West Ham,1999,5,5,417,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
515,Richarlison,FW,br Brazil,25,1.eng Tottenham,1997,4,4,323,3.6,3,0,3,3,0,0,0,0,0.84,0,0.84,0.84,0.84,Matches
516,Fabian Rieder,MF,ch Switzerland,20,1.ch Young Boys,2002,2,1,68,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
517,Ró-Ró,"DF,MF",qa Qatar,31,1.qa Al Sadd,1990,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
518,Connor Roberts,"MF,DF",wls Wales,26,2.eng Burnley,1995,3,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
519,Antonee Robinson,DF,us USA,24,1.eng Fulham,1997,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
520,Sergio Rochet,GK,uy Uruguay,29,1.uy Nacional,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
521,Joe Rodon,DF,wls Wales,24,1.fr Rennes,1997,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
522,Rodri,DF,es Spain,25,1.eng Manchester City,1996,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
523,Charly Rodríguez,MF,mx Mexico,25,1.mx Cruz Azul,1997,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
524,Guido Rodríguez,MF,ar Argentina,28,1.es Real Betis,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
525,Kevin Rodríguez,FW,ec Ecuador,22,,2000,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
526,Ricardo Rodríguez,DF,ch Switzerland,29,1.it Torino,1992,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
527,Rodrygo,MF,br Brazil,21,1.es Real Madrid,2001,5,1,181,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
528,Mohamed Ali Ben Romdhane,FW,tn Tunisia,22,1.tn Espérance Tunis,1999,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
529,Cristian Romero,DF,ar Argentina,24,1.eng Tottenham,1998,7,6,547,6.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
530,Cristiano Ronaldo,FW,pt Portugal,37,1.eng Manchester Utd,1985,5,3,290,3.2,1,0,1,0,1,1,0,0,0.31,0,0.31,0,0,Matches
531,Marten de Roon,MF,nl Netherlands,31,1.it Atalanta,1991,5,3,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
532,Kye Rowles,DF,au Australia,23,1.sct Hearts,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
533,Antonio Rüdiger,DF,de Germany,29,1.es Real Madrid,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
534,Bryan Ruiz,"FW,MF",cr Costa Rica,36,1.cr Alajuelense,1985,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
535,Mathew Ryan,GK,au Australia,30,1.dk FC Copenhagen,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
536,Youssouf Sabaly,DF,sn Senegal,29,1.es Real Betis,1993,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
537,Abdelhamid Sabiri,MF,ma Morocco,25,1.it Sampdoria,1996,5,2,181,2,0,1,1,0,0,0,1,0,0,0.5,0.5,0,0.5,Matches
538,Romain Saïss,DF,ma Morocco,32,1.tr Be?ikta?,1990,6,6,466,5.2,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
539,Bukayo Saka,"FW,MF",eng England,20,1.eng Arsenal,2001,4,4,288,3.2,3,0,3,3,0,0,0,0,0.94,0,0.94,0.94,0.94,Matches
540,Hiroki Sakai,DF,jp Japan,32,1.jp Urawa Reds,1990,2,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
541,Youstin Salas,DF,cr Costa Rica,25,1.cr Saprissa,1996,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
542,William Saliba,DF,fr France,21,1.eng Arsenal,2001,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
543,Mohammed Salisu,DF,gh Ghana,23,1.eng Southampton,1999,3,3,270,3,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
544,Tarek Salman,"DF,MF",qa Qatar,24,1.qa Al Sadd,1997,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
545,Jorge Sánchez,DF,mx Mexico,24,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
546,Alex Sandro,DF,br Brazil,31,1.it Juventus,1991,3,2,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
547,Leroy Sané,MF,de Germany,26,1.de Bayern Munich,1996,2,1,111,1.2,0,1,1,0,0,0,0,0,0,0.81,0.81,0,0.81,Matches
548,Na Sang-ho,MF,kr Korea Republic,25,1.kr FC Seoul,1996,2,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
549,Pablo Sarabia,"FW,MF",es Spain,30,1.fr PSG,1992,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
550,Josh Sargent,FW,us USA,22,2.eng Norwich City,2000,3,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
551,Jeremy Sarmiento,MF,ec Ecuador,19,1.eng Brighton,2002,3,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
552,Ismaila Sarr,"MF,FW",sn Senegal,24,2.eng Watford,1998,4,4,344,3.8,1,0,1,0,1,1,0,0,0.26,0,0.26,0,0,Matches
553,Ferjani Sassi,"DF,MF",tn Tunisia,30,1.qa Al Duhail SC,1992,2,0,48,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
554,Fabian Schär,DF,ch Switzerland,30,1.eng Newcastle,1991,2,2,135,1.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
555,Nico Schlotterbeck,DF,de Germany,22,1.de Dortmund,1999,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
556,Kasper Schmeichel,GK,dk Denmark,35,1.fr Nice,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
557,Haris Seferovi?,FW,ch Switzerland,30,1.tr Galatasaray,1992,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
558,Alidu Seidu,"MF,DF",gh Ghana,22,1.fr Clermont Foot,2000,2,2,155,1.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
559,Antoine Semenyo,"FW,MF",gh Ghana,22,2.eng Bristol City,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
560,Kim Seung-gyu,GK,kr Korea Republic,31,1.sa Al-Shabab,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
561,Paik Seung-ho,MF,kr Korea Republic,25,1.kr Jeonbuk,1997,1,0,26,0.3,1,0,1,1,0,0,0,0,3.46,0,3.46,3.46,3.46,Matches
562,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1.sa Al-Hilal,1992,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
563,Xherdan Shaqiri,"FW,MF",ch Switzerland,30,1.us Chicago Fire,1991,3,3,229,2.5,1,1,2,1,0,0,0,0,0.39,0.39,0.79,0.39,0.79,Matches
564,Riyadh Sharahili,MF,sa Saudi Arabia,29,1.sa Abha,1993,1,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
565,Luke Shaw,DF,eng England,26,1.eng Manchester Utd,1995,5,5,424,4.7,0,1,1,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches
566,Saad Al Sheeb,GK,qa Qatar,32,1.qa Al Sadd,1990,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
567,Saleh Al-Shehri,FW,sa Saudi Arabia,28,1.sa Al-Hilal,1993,3,3,223,2.5,1,0,1,1,0,0,1,0,0.4,0,0.4,0.4,0.4,Matches
568,André Silva,FW,pt Portugal,26,1.de RB Leipzig,1995,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
569,António Silva,DF,pt Portugal,18,1.pt Benfica,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
570,Bernardo Silva,MF,pt Portugal,27,1.eng Manchester City,1994,5,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
571,Thiago Silva,DF,br Brazil,37,1.eng Chelsea,1984,4,4,390,4.3,0,1,1,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
572,Unai Simón,GK,es Spain,25,1.es Athletic Club,1997,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
573,Xavi Simons,"FW,MF",nl Netherlands,19,1.nl PSV,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
574,Ellyes Skhiri,MF,tn Tunisia,27,1.de Köln,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
575,Micha? Skóra?,MF,pl Poland,22,1.pl Lech Pozna?,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
576,Andreas Skov Olsen,FW,dk Denmark,22,1.be Club Brugge,1999,2,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
577,Robert Skov,"FW,MF",dk Denmark,26,1.de Hoffenheim,1996,1,0,22,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
578,Naïm Sliti,FW,tn Tunisia,29,1.sa Al-Ettifaq,1992,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
579,Carlos Soler,MF,es Spain,25,1.fr PSG,1997,2,0,92,1,1,0,1,1,0,0,0,0,0.98,0,0.98,0.98,0.98,Matches
580,Yuki Soma,MF,jp Japan,25,1.jp Grampus,1997,1,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
581,Yann Sommer,GK,ch Switzerland,33,1.de Gladbach,1988,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
582,Borna Sosa,DF,hr Croatia,24,1.de Stuttgart,1998,5,5,424,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
583,Harry Souttar,DF,au Australia,23,2.eng Stoke City,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
584,Djibril Sow,MF,ch Switzerland,25,1.de Frankfurt,1997,4,4,264,2.9,0,1,1,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
585,Josip Staniši?,DF,hr Croatia,22,1.de Bayern Munich,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
586,Renato Steffen,"FW,MF",ch Switzerland,30,1.ch Lugano,1991,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
587,Raheem Sterling,"MF,FW",eng England,27,1.eng Chelsea,1994,3,2,149,1.7,1,1,2,1,0,0,0,0,0.6,0.6,1.21,0.6,1.21,Matches
588,John Stones,DF,eng England,28,1.eng Manchester City,1994,5,5,434,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
589,Luis Suárez,FW,uy Uruguay,35,1.uy Nacional,1987,3,2,146,1.6,0,1,1,0,0,0,1,0,0,0.62,0.62,0,0.62,Matches
590,Niklas Süle,DF,de Germany,26,1.de Dortmund,1995,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
591,Kamaldeen Sulemana,"FW,MF",gh Ghana,20,1.fr Rennes,2002,2,0,58,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
592,Josip Šutalo,DF,hr Croatia,22,1.hr Dinamo Zagreb,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
593,Karol ?widerski,MF,pl Poland,25,1.us Charlotte,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
594,Wojciech Szcz?sny,GK,pl Poland,32,1.it Juventus,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
595,Damian Szyma?ski,MF,pl Poland,26,1.gr AEK Athens,1995,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
596,Sebastian Szyma?ski,MF,pl Poland,23,1.nl Feyenoord,1999,2,2,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
597,Dušan Tadi?,"MF,FW",rs Serbia,33,1.nl Ajax,1988,3,3,257,2.9,0,2,2,0,0,0,0,0,0,0.7,0.7,0,0.7,Matches
598,Nicolás Tagliafico,DF,ar Argentina,29,1.fr Lyon,1992,6,3,373,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
599,Montassar Talbi,DF,tn Tunisia,24,1.fr Lorient,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
600,Hassan Al Tambakti,DF,sa Saudi Arabia,23,1.sa Al-Shabab,1999,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
601,Ao Tanaka,MF,jp Japan,23,2.de Düsseldorf,1998,3,2,171,1.9,1,0,1,1,0,0,0,0,0.53,0,0.53,0.53,0.53,Matches
602,Shogo Taniguchi,DF,jp Japan,30,1.jp Kawasaki F.,1991,2,2,210,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
603,Mehdi Taremi,"FW,MF",ir IR Iran,29,1.pt Porto,1992,3,3,270,3,2,1,3,1,1,1,0,0,0.67,0.33,1,0.33,0.67,Matches
604,Kenneth Taylor,MF,nl Netherlands,20,1.nl Ajax,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
605,Aurélien Tchouaméni,MF,fr France,22,1.es Real Madrid,2000,7,7,621,6.9,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
606,Yeltsin Tejeda,MF,cr Costa Rica,30,1.cr Herediano,1992,3,3,269,3,1,1,2,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,Matches
607,Alex Telles,DF,br Brazil,29,1.es Sevilla,1992,2,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
608,Sorba Thomas,"FW,MF",wls Wales,22,2.eng Huddersfield,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
609,Marcus Thuram,"FW,MF",fr France,24,1.de Gladbach,1997,5,0,151,1.7,0,2,2,0,0,0,1,0,0,1.19,1.19,0,1.19,Matches
610,Youri Tielemans,MF,be Belgium,25,1.eng Leicester City,1997,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
611,Jurriën Timber,DF,nl Netherlands,20,1.nl Ajax,2001,4,4,390,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
612,Karl Toko Ekambi,FW,cm Cameroon,29,1.fr Lyon,1992,3,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
613,Nouhou Tolo,DF,cm Cameroon,24,1.us Seattle Sounders,1997,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
614,Takehiro Tomiyasu,DF,jp Japan,23,1.eng Arsenal,1998,3,1,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
615,Mehdi Torabi,MF,ir IR Iran,27,1.ir Persepolis,1994,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
616,Félix Torres Caicedo,DF,ec Ecuador,25,1.mx Santos Laguna,1997,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
617,Ferran Torres,FW,es Spain,22,1.es Barcelona,2000,4,3,217,2.4,2,0,2,1,1,1,0,0,0.83,0,0.83,0.41,0.41,Matches
618,Gerson Torres,MF,cr Costa Rica,24,1.cr Herediano,1997,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
619,Pau Torres,DF,es Spain,25,1.es Villarreal,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
620,Kieran Trippier,DF,eng England,31,1.eng Newcastle,1990,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
621,Leandro Trossard,FW,be Belgium,27,1.eng Brighton,1994,3,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
622,Matt Turner,GK,us USA,27,1.eng Arsenal,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
623,Ayase Ueda,FW,jp Japan,23,1.be Cercle Brugge,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
624,Hwang Ui-jo,FW,kr Korea Republic,29,1.gr Olympiacos,1992,4,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
625,Dayot Upamecano,DF,fr France,23,1.de Bayern Munich,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
626,Enner Valencia,FW,ec Ecuador,32,1.tr Fenerbahçe,1989,3,3,255,2.8,3,0,3,2,1,1,0,0,1.06,0,1.06,0.71,0.71,Matches
627,Federico Valverde,MF,uy Uruguay,23,1.es Real Madrid,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
628,Virgil van Dijk,DF,nl Netherlands,30,1.eng Liverpool,1991,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
629,Raphaël Varane,DF,fr France,29,1.eng Manchester Utd,1993,6,6,518,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
630,Guillermo Varela,"MF,DF",uy Uruguay,29,1.br Flamengo,1993,3,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
631,Ruben Vargas,"MF,FW",ch Switzerland,23,1.de Augsburg,1998,4,4,285,3.2,0,1,1,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches
632,Matías Vecino,MF,uy Uruguay,30,1.it Lazio,1991,3,2,195,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
633,Alexis Vega,"FW,MF",mx Mexico,24,1.mx Guadalajara,1997,3,3,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
634,Miloš Veljkovi?,DF,rs Serbia,26,1.de Werder Bremen,1995,3,3,221,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
635,Johan Venegas,FW,cr Costa Rica,33,1.cr Alajuelense,1988,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
636,Jordan Veretout,MF,fr France,29,1.fr Marseille,1993,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
637,Jan Vertonghen,DF,be Belgium,35,1.be Anderlecht,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
638,Matías Viña,"DF,MF",uy Uruguay,24,1.it Roma,1997,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
639,Vitinha,FW,pt Portugal,22,1.fr PSG,2000,3,1,120,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
640,Steven Vitória,DF,ca Canada,35,1.pt Chaves,1987,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
641,Dušan Vlahovi?,FW,rs Serbia,22,1.it Juventus,2000,2,1,79,0.9,1,0,1,1,0,0,0,0,1.14,0,1.14,1.14,1.14,Matches
642,Nikola Vlaši?,FW,hr Croatia,24,1.it Torino,1997,6,1,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
643,Mohammed Waad,MF,qa Qatar,22,1.qa Al Sadd,1999,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
644,Kyle Walker,DF,eng England,32,1.eng Manchester City,1990,3,3,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
645,Danny Ward,GK,wls Wales,28,1.eng Leicester City,1993,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
646,Kendall Waston,DF,cr Costa Rica,34,1.cr Saprissa,1988,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
647,Timothy Weah,FW,us USA,22,1.fr Lille,2000,4,4,316,3.5,1,0,1,1,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches
648,Wout Weghorst,FW,nl Netherlands,29,1.tr Be?ikta?,1992,4,0,64,0.7,2,0,2,2,0,0,1,0,2.81,0,2.81,2.81,2.81,Matches
649,Wéverton,GK,br Brazil,34,1.br Palmeiras,1987,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
650,Silvan Widmer,DF,ch Switzerland,29,1.de Mainz 05,1993,3,3,265,2.9,0,1,1,0,0,0,1,0,0,0.34,0.34,0,0.34,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
651,Iñaki Williams,"FW,MF",gh Ghana,27,1.es Athletic Club,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
652,Neco Williams,"DF,MF",wls Wales,21,1.eng Nottingham,2001,3,3,204,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
653,Nico Williams,FW,es Spain,19,1.es Athletic Club,2002,4,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
654,Callum Wilson,FW,eng England,30,1.eng Newcastle,1992,2,0,48,0.5,0,1,1,0,0,0,0,0,0,1.87,1.87,0,1.87,Matches
655,Harry Wilson,MF,wls Wales,25,1.eng Fulham,1997,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
656,Roan Wilson,FW,cr Costa Rica,20,1.cr Municipal Grecia,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
657,Axel Witsel,MF,be Belgium,33,1.es Atlético Madrid,1989,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
658,Jeong Woo-yeong,MF,kr Korea Republic,22,1.de Freiburg,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
659,Jung Woo-young,MF,kr Korea Republic,32,1.qa Al Sadd,1989,4,4,303,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
660,Christopher Wooh,DF,cm Cameroon,20,1.fr Rennes,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
