Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
206,Cédric Bakambu,cd COD,FW,Real Betis,es La Liga,33,1991,25,6,710,7.9,2,2,4,2,0,0,4,0,0.25,0.25,0.51,0.25,0.51,Matches
207,Mitchel Bakker,nl NED,"DF,MF",Atalanta,it Serie A,24,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
208,Mitchel Bakker,nl NED,"MF,DF",Lille,fr Ligue 1,24,2000,24,14,"1,139",12.7,3,2,5,3,0,0,3,1,0.24,0.16,0.4,0.24,0.4,Matches
209,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,16,2007,2,0,14,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
210,Ridle Baku,de GER,MF,Wolfsburg,de Bundesliga,26,1998,15,14,"1,170",13,2,1,3,2,0,0,2,0,0.15,0.08,0.23,0.15,0.23,Matches
211,Ridle Baku,de GER,MF,RB Leipzig,de Bundesliga,26,1998,19,15,"1,275",14.2,2,3,5,2,0,0,1,0,0.14,0.21,0.35,0.14,0.35,Matches
212,Dilane Bakwa,fr FRA,MF,Strasbourg,fr Ligue 1,21,2002,30,29,"2,497",27.7,6,8,14,6,0,0,4,0,0.22,0.29,0.5,0.22,0.5,Matches
213,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,21,2003,31,5,832,9.2,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
214,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,20,2003,32,26,"2,284",25.4,0,4,4,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
215,Keita Baldé,sn SEN,FW,Monza,it Serie A,29,1995,11,8,638,7.1,2,0,2,2,0,0,2,0,0.28,0,0.28,0.28,0.28,Matches
