"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
333;"Victor Torp";"Coventry";2;43;0;0;0;0;0;0.51;0.6;0.1;0;0;1.06;1.06;1.06;1.26;0.2
334;"Jack Rudoni";"Coventry";2;91;0;0;0;0.53;0.53;0.14;0.68;0.12;0.52;0.52;0.14;0.66;0.66;0.67;0.12
335;"Tatsuhiro Sakamoto";"Coventry";1;29;0;0;0;0.03;0.03;0;0.12;0.1;0.09;0.09;0;0.09;0.09;0.38;0.3
336;"Konstantinos Tzolakis";"Hull";2;180;0;0;0;0;0;0;0.03;0.03;0;0;0;0;0;0.01;0.01
337;"Lewie Coyle";"Hull";2;120;0;0;0;0;0;0.03;0.03;0.03;0;0;0.02;0.02;0.02;0.02;0.02
338;"Mohamed Belloumi";"Hull";2;175;0;0;1;0.12;0.12;0.26;0.4;0.04;0.06;0.06;0.13;0.19;0.19;0.21;0.02
339;"Matt Crooks";"Hull";1;90;0;0;0;0;0;0;0.03;0.03;0;0;0;0;0;0.03;0.03
340;"Regan Slater";"Hull";2;180;0;0;1;0;0;0.53;0.04;0.04;0;0;0.26;0.26;0.26;0.02;0.02
341;"Elliot Stroud";"Hull";2;134;0;0;0;0.02;0.02;0;0.04;0.03;0.01;0.01;0;0.01;0.01;0.03;0.02
342;"Lucas Herrington";"Hull";2;53;0;0;0;0;0;0;0.09;0.09;0;0;0;0;0;0.16;0.16
343;"Hayden Hackney";"Everton";2;109;0;0;0;0.04;0.04;0.03;0.12;0.09;0.03;0.03;0.03;0.06;0.06;0.1;0.07
344;"Anan Khalaili";"Crystal Palace";2;107;0;0;0;0.02;0.02;0.16;0.94;0.77;0.01;0.01;0.14;0.15;0.15;0.79;0.64
345;"Marcelino Núñez";"Ipswich";2;146;0;0;0;0.06;0.06;0.04;1.5;1.5;0.03;0.03;0.02;0.06;0.06;0.93;0.93
346;"Daizen Maeda";"Ipswich";2;157;0;0;0;0.72;0.72;0;1.16;0.44;0.42;0.42;0;0.42;0.42;0.67;0.25
347;"Sindre Egeli";"Ipswich";1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
