Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,24,2000,37,30,"2,449",27.2,4,5,9,4,0,0,3,0,0.15,0.18,0.33,0.15,0.33,Matches
2,Jerome Abbey,eng ENG,MF,Wolves,eng Premier League,15,2009,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Zach Abbott,eng ENG,DF,Nottingham,eng Premier League,19,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19,2006,22,4,681,7.6,2,0,2,2,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
5,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,25,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
6,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.19,0,0.19,0,0,Matches
7,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,31,1993,22,13,"1,187",13.2,3,0,3,3,0,0,4,1,0.23,0,0.23,0.23,0.23,Matches
8,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25,2000,18,12,911,10.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
9,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26,1999,25,14,"1,352",15,2,4,6,2,0,0,4,1,0.13,0.27,0.4,0.13,0.4,Matches
10,Tay Abed,il ISR,MF,Levante,es La Liga,21,2004,7,0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32,1993,28,27,"2,318",25.8,1,0,1,1,0,0,7,0,0.04,0,0.04,0.04,0.04,Matches
12,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22,2003,32,27,"2,494",27.7,6,4,10,6,0,1,6,0,0.22,0.14,0.36,0.22,0.36,Matches
13,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25,2000,26,25,"2,150",23.9,3,2,5,3,0,0,4,1,0.13,0.08,0.21,0.13,0.21,Matches
14,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,25,2000,15,6,511,5.7,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
15,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26,1999,23,17,"1,437",16,0,2,2,0,0,0,10,1,0,0.13,0.13,0,0.13,Matches
16,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,27,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,0,0.63,0.63,0.63,Matches
17,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
18,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,22,2003,23,6,698,7.8,2,0,2,2,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
19,Mathieu Acapandié,mg MAD,"DF,MF",Nantes,fr Ligue 1,20,2004,6,2,261,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37,1988,18,15,"1,378",15.3,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
